#汉字	近音同调	近音异调
一		
乙		
丁	祯增厅诊贞真针桢斟缯臻珍听砧憎榛侦甄汀曾箴	诊缜怎挺赠赈疹震霆梃振亭廷阵婷蜓枕鸩朕艇听娠镇停庭
兵	缤彬濒豳傧滨槟宾	殡傧膑鬓
冶		
冷		嫩能泞
别		
判		
利	昵泥睨腻溺匿逆	妮尼泥霓呢你拟倪怩你旎
删	三参	伞散糁
刨	裒	剖
劫	携协邪斜挟伽谐偕鞋撷茄颉胁勰	蟹切惬骇懈妾窃燮蠍楔洩血绁邂榭歇屉解洩写屑怯些卸械且泻谢亵契挈锲
助		诅卒租祖俎足组阻族嗾
努	铝卤鲁掳卤吕橹缕褛膂女旅娄侣屡虏履	绿律胪鑪鲈戮麓颅炉噜闾鹭滤录穋禄赂率芦路卢榈露鹿僇碌氯驴陆庐虑忸泸
劬	跼掬桔侷菊局鞠橘	苣炬飓具巨疽钜倨剧遽屦距俱狙聚据龃咀莒举惧踞瞿蛆车驹拘句锯沮足拒居矩
匣	浃荚戛颊夹挟	嘉架假夏钾加葭稼家甲迦驾价痂贾袈夹茄豭嫁佳胛家
即	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
卵	暖煖	孪挛
吝	佞谅晾令酿量凉另泞辆亮	柠咛菱娘粱魉良櫺娘翎聆昤粮两绫灵羚梁岭伶龄领蛉拎樑俩您狞凝玲宁拧鸰泠苓凌陵量凉铃零
吭	痕妨粳汾肪庚坟根焚更跟防坊羹耕赓房	垦倣艮氛舫吩分梗仿很份芬纺奋更访埂坊芳恳哽放棻龈恨亘狠肯粪方耿纷啃忿枋愤仿粉
吞	冬蹲通鼕墩恫敦惇东咚	钝铜桐僮栋恸潼洞筒动懂沌统瞳同囤峒董桶彤痛恫顿遁炖胴趸吨冻童盾盹
吾	盂妤隅娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴
否	吼郝好	篌厚毫濠蚝后侯嚎皓貉嗥堠颢蚵鹤好耗昊浩后猴鲎壕逅鄗蒿镐豪候涸号喉
呎	此	辞赐疵次祠雌词差伺茨厕瓷刺慈磁
吧		
呆	苔胎	泰薹台苔抬台跆汰态台台太
呃		
吴	盂妤隅娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎腴渔臾于谀圩余余瑜俞予欤萸于虞	瘉滪域瘀宇驭狱峪昱燠雨预迂语纡与煜龉欲噢芋育俞堉郁豫羽毓裕御吁妪敔喻玉欲圉誉禺禹熨屿愈寓愈谕圄御谷郁淤遇庾聿尉予浴
呈	谌岑晨尘涔宸陈娠忱臣曾辰沉层沈	谶榇称衬疢琛趁瞋参
吕	弩努卤女鲁掳卤橹虏	胪鑪鲈戮麓颅炉奴噜怒鹭录穋禄赂路芦卢露鹿僇碌氯驽陆庐忸泸
君	燻凶勋兄薰汹醺匈勳穹胸凶	汛巡浔炯窘徇迥雄裙潠驯询璿巽蕈殉群琼循穹训迅逊穷讯寻熊荀洵旬
吩	疯峰丰讽丰方枫锋烽蜂坊芳枋风亨封哼	吭妨恒倣航讽舫逢仿很凤冯纺行沆杭桁访坊俸房横放痕恨肪奉狠缝防仿衡
告	购雊构够媾扣搆寇铐酷靠佝垢釦遘叩诟库犒裤	骷窟苦枸考烤哭沟钩勾狗句楛拷枯口苟
吹	橇催萃翠悴瘁崔粹脆淬摧衰	催萃翠璀瘁粹淬衰摧橇悴崔脆
吻	拥往踊泳永魍蓊涌勇允惘蛹甬臃网俑陨枉罔辋咏涌壅恿	拥员佣雍翁佣耘嗡亡孕王臃熨用尢愠芸忘云韵鄘望慵运筠旺甕昀妄晕庸酝蕴氲纭汪匀邕云壅
吸	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
吮	损榫悚笋怂耸爽塽	嵩宋松讼孀送松霜崧荪潠忪孙双飧诵颂淞
吵	草丑丑	嘈俦溴绸鯈糙惆操稠酬仇畴凑抽愁辏踌筹槽裯臭漕曹
呐	蜡剌腊辣落	喇拉剌邋啦
吠		嘿黑
吼	郝否缶好	昊浩芣毫濠壕蚝鄗嚎皓貉蒿嗥镐颢蚵豪鹤好耗涸号
呀		
吱	淄锱织梔咨泜兹氏姿脂胝资孜汁谘玆龇肢祇缁赀枝蜘支知只只祗孳之芝辎卮滋髭	訾雉帜秩紫止渍蛭志芷值址仔执恣祇峙祉治制质纸志姪籽稚窒植咫梓字痣子智致滞致置滓痔摭挚至制轾踯踬直掷识知征炙只趾孳指职旨殖自
含	藩蕃樊墦凡烦礬钒繁帆	氾繙犯范泛梵番贩反汎蕃饭翻范返幡帆
吟	莹钖佯疡洋飏杨羊徉赢盈萦蝇炀萤烊迎扬营荧嬴昜楹旸茔瀛阳	缨罂景郢仰莺樱鸯映怏央秧鹦应英样鹰漾颖恙鞅硬炀泱养殃膺痒婴瑛嘤璎氧影
听	养景郢仰颖鞅氧影痒	缨佯疡洋樱映飏杨羊央秧应萦鹰漾恙硬蝇炀烊养迎扬营膺婴嬴昜楹旸阳莹钖罂鸯莺怏徉赢鹦盈英样鞅萤泱殃荧瑛嘤璎茔瀛
囪	冲冲皴充憧村春舂	冲鹑吋崇虫虫忖淳寸醇宠唇纯蠢脣重存
困	圹共矿旷眶空况逛框棍供贡控	矿辊共鲧倥汞工滚蚣狂衮硿巩孔躬恐筐框功釭弓龚公拱犷攻诳宫红崆廾恭空匡劻肱广洸胱供光
囤	瞳铜同褪峒桐僮栋彤痛恫恸胴潼洞冻动童	钝蹲铜桐僮栋惇恸东豚冬洞潼鼕屯筒墩臀动沌统懂饨瞳同峒董桶彤痛顿恫遁炖胴吞通趸吨冻童盾敦盹咚
囫	氟缚匐夫蝠绋扶芾幅孚弗辐绂袱福浮伏符菔拂涪怫彿服芙俘	富馥覆附肤俯鈇复府夫腑腐頫甫阜腹赙副傅复釜敷付抚斧孵赴妇莆趺辅咐父麸脯赋负驸伕讣
坊	吭棻氛航痕吩分汾芬坟焚行杭桁纷	吭航氛吩分很份芬坟奋行沆桁杭棻痕汾恨狠粪焚纷忿愤粉
坑	更跟粳羹庚耕根赓	更垦耿埂艮龈啃梗亘肯恳哽
址	仔訾紫滓籽子梓	恣淄渍锱缁赀咨兹字子姿孳资孜辎滋谘龇玆髭自吱
坍	箪丹担耽单	诞淡蛋石惮弹撢但啖胆啗疸氮旦担澹
均	燻凶勋兄薰汹醺匈勳穹胸凶	汛巡浔炯窘徇迥雄裙潠驯询璿巽蕈殉群琼循穹训迅逊穷讯寻熊荀洵旬
坎	橄敢感稈杆赶	干竿甘疳柑淦干榦尴干坩赣杆肝
圾	摄歧琪齐琦蓆涉叶耆棋拾骑设惜祺祁舍赦期祇媳祈枝息锡锜歙昔褶麝淇其旗麒习社脐畦鳍崎圻奇岐衹席熄射檄袭	携烯嬉赊膝妻玺洗溪岂绮舍细碛弃舌析舍乞系启甚器栖讫蛇漆慼迄蟋羲起夕什蹊歙气奢曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
坐		棹擢浊卓濯琢镯着酌拙涿灼斫捉桌茁啄
坏		
圻	棘戢疾击辑寂集脊及嫉借唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪蹟基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技勣稽既悸跻系叽济鲫戟骥饥
壮	圳俊	准屯谆尊肫遵樽准撙
夹	狎暇侠辖霞斜柙挟峡匣洽狭虾黠遐呷瞎瑕	狎暇侠辖吓霞斜夏柙挟峡恰匣洽下卡狭虾黠遐厦呷瞎瑕
妆	屯谆尊肫遵樽	准圳准俊撙
妒	兔吐菟	凸土荼涂酴图秃徒余突屠吐途
妨	行吭桁杭痕航汾坟焚	棻氛吩分恨很份芬狠粪奋行沆纷忿愤粉
妞	撩溜	尿刘廖缭柳聊潦流疗料辽铆馏暸硫鸟六嬝袅留寮泵琉浏寥撩瘤溜霤僚嘹燎了遛陆榴了
妣		
妙	谬	
妖	幽攸悠优忧	游黝由牖邮友疣莠又尤幼犹猷游鼬诱宥油右柚祐铀有侑酉囿佑鱿釉
妍		
妤	吾亡诬无毋鼯梧唔巫吴芜蜈	武污鹉晤骛巫侮悟坞误诬务午五乌伍寤戊恶呜妩于物勿怃雾屋舞兀圬钨捂軏污垩
妓	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
妊	让	扔瓤嚷攘仍禳壤
妥	躲朵	咄剁踱夺朵驮堕度跺惰舵铎多
孝	教溴袖救窖就厩岫柩醮究较旧秀臼舅咎锈轿疚校宿叫嗅臭觉绣	啾朽修皎娇揪鸠灸羞蕉九浇饺跤狡鲛脩胶搅韭宿赳蛟久教姣骄玖纠侥焦詨角椒交咻礁较勦酒郊脚缴铰绞剿矫休嚼
孜	肢祇织梔枝泜蜘支氏知只只祗之脂胝芝卮汁吱	雉秩帜止蛭志芷值址执祇祉峙治制纸质志姪稚窒植咫痣智致滞致置痔摭至挚制轾踯踬直掷知识征只炙趾指职旨殖
孚	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护
孛		
完	缘媛源员原辕园圆援騵猿湲元爰袁沅垣	宛院苑媛愿渊愿冤鸳鸢怨远
宋	舜瞬潠顺	飧吮损榫笋盾荪孙
宏	馄珲混浑魂	荤辊混昏浑婚
尬	喀	咖咳卡喀哈
局	徐劬渠曲衢瞿璩	叙絮蓄取许圈须煦砠曲需区勗驱咻续嘘序趋岖墟胥去恤畜娶洫婿酗趣瞿吁卹漆戌蛆须屈龋绪顼訏蛐躯虚栩旭
屁		
尿	霤廖馏燎拗陆六料溜了	刘缭柳聊潦流扭疗辽铆暸钮硫牛留寮泵琉浏寥撩瘤溜妞僚嘹燎了遛榴纽忸了
尾		
岐	棘戢疾击辑寂集脊及嫉借唧急伋吉圾即楫瘠汲吃亟籍级极岌	洎玑羁暨忌肌祭脊己骑芰鸡矶乩剂积几记绩期屐机嵇迹觊纪蹟基计妓居冀畸姬畿其寄给犄蓟饥疠际几唧箕麂继挤荠奇讥激季稷髻霁技勣稽既悸跻系叽济鲫戟骥饥
岑	场長谌晨尘苌藏尝诚城程承曾辰盛沉层尝沈徜呈常澄裳乘肠丞惩偿橙宸陈娠成忱臣嫦	场畅猖倡敞趁唱秤榇疢撑瞋氅骋称衬伥昌鲳仓娼谶舱瞠沧琛逞苍厂怅伧
岔		搽擦
岌	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
巫	盂妤隅瘀娱榆愚鱼逾禺舆愉褕蝓竽雩渝觎淤渔迂腴臾于谀纡圩余瑜余俞予欤萸虞于	瘉滪妤域瘀娱宇驭狱逾昱峪燠褕蝓竽雨雩渝觎预迂渔语于纡与煜龉噢欲芋育余余俞欤堉郁豫羽虞毓裕盂御隅吁妪榆敔喻愚鱼玉欲圉誉禺熨禹屿舆愈寓愈愉谕圄御谷郁淤腴遇臾谀庾圩聿尉瑜予萸于浴
希	畸姬畿其玑羁肌犄饥疠鸡矶乩几积唧箕几奇讥激绩期屐机嵇迹勣稽蹟基跻叽居饥	洎棘疾暨忌祭集脊己骑借芰剂几记楫瘠觊纪计级极妓冀戢击寄辑寂给蓟及嫉际几唧麂继挤急伋荠吉季圾即稷髻霁技汲吃亟既悸跻籍系岌济鲫戟骥
序	炬苣飓惧具巨踞瞿钜倨剧遽屦距俱聚据句锯足拒	莒咀举桔疽橘蛆跼车驹俱拘狙侷掬菊局锯沮鞠居龃矩
庇		
床	淳鹑醇纯唇脣存	忖皴寸吋蠢村春
廷		定叮酊仃鼎丁顶盯锭订钉
弄	论	龙眬论窿垄沦咙隆伦珑轮聋拢仑仑笼陇胧抡纶
弟	涕悌屉剃替锑逖嚏惕	剔题梯堤蹄踢啼体隄缇提
彤	囤屯臀饨豚	钝蹲栋惇东冬鼕洞墩动沌懂囤褪董恫顿遁炖胴吞趸吨冻盾盹敦咚
形	寻	竟颈泾信靖心粳烬馨芯精静筋缙谨进訢巾茎新竞噤津尽莘觐斤经璟锦近径昕今境欣惊景锌睛矜劲警襟更径筋兢瑾晶旌京井尽馑金晋鲸痉紧净仅禁荆镜菁薪憬浸辛敬衅阱
仿	很狠粉	吭棻痕航氛吩分汾恨份芬坟粪焚奋行沆杭桁纷忿愤
役		
忘	韵员运紊晕酝抆蕴汶文孕闻问熨愠免	云雯玟纹筠蚊昀晕氲刎纭耘允文闻匀瘟吻陨云温稳塭芸
忌	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
志	字恣渍孳自	仔訾紫滓籽淄锱缁赀梓咨兹子姿孳资孜辎滋谘龇玆髭吱
忍	扔嚷攘壤	扔瓤让攘仍禳
忱	场長苌藏涔尝诚城程承曾盛徜尝层呈常岑乘肠裳澄丞惩偿橙成嫦	场畅猖倡敞唱秤撑氅骋参称伥昌鲳仓娼舱瞠沧逞苍厂怅伧
快	怪	枴乖拐
忸	柳绿律麓戮铆怒鹭暸滤鸟录穋禄率嬝袅赂路露鹿僇碌氯了陆虑了	刘廖鑪料鲈膂馏屡硫履努榈琉卤吕撩橹瘤溜缕褛燎庐陆虏了尿铝卤缭聊掳潦流胪疗颅炉辽噜奴旅娄闾侣六弩留芦寮卢泵鲁浏寥霤嘹僚驽遛驴榴泸
忪	肫纵樽鬃荪孙棕飧屯谆踪尊综遵宗	傯吮损榫准总笋粽纵圳俊潠舜综盾准从瞬顺撙
戒	蟹切惬骇懈妾窃燮楔洩绁榭邂屉解洩屑怯械卸泻亵谢契挈锲	携协歇切写邪斜些且挟谐伽蠍鞋偕撷颉茄血勰胁
我		
抄	抽糙操	嘈溴绸鯈惆操酬愁辏曹俦丑糙丑稠仇草畴凑槽筹踌臭裯漕
抗	艮亘杠	垦艮龈肯根跟缸纲冈港啃岗釭肛扛恳杠钢刚
抖	讨导岛倒捣祷	刀涛萄焘韬桃偷头梼淘盗洮滔透逃稻啕悼到絛导叨陶套掏倒蹈饕投道
技	愒系汐翕戏隙妻细碛弃汽系器矽企讫亟迄泣潟契夕系憩砌缉歙气	携歧琪烯齐嬉蓆琦耆膝棋骑妻惜玺祺洗溪岂绮祁析乞启祇期媳祈栖枝漆慼息蟋羲起锡蹊锜褶昔曦淅熹其悉淇旗禧犀萋麒行蜥凄稀希吸习欺脐徙畦晰鳍兮崎鳃圻杞熙奇岐柒衹厘喜譆谿稽牺唏嘻悽晞西席熄奚戚七袭檄僖
扶	壶胡蝴鹄胡湖囫葫弧斛瑚糊狐	瓠互琥虎扈许惚唬乎戏呼户忽沪楛沍护
抉	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱
扭	铆柳了暸鸟了嬝袅	尿刘廖缭聊潦流料疗辽馏硫六留寮泵琉浏寥撩瘤溜霤僚嘹燎遛陆榴了
把		
扼		
找	澡帚走藻肘早蚤枣	皂鄹胄轴遭妯周骤绉造粥宙灶凿周燥噪邹糟奏冑纣陬揍舟昼譟咒啁籀皱躁洲州
批		
扳		
抒	苏苏酥甦稣	塑肃粟诉素俗蓿簌宿缩速嗉溯夙
扯		策恻测册厕侧
折	则择泽贼责笮啧窄咋	仄侧怎
扮		
投	洮桃涛萄陶焘梼淘逃啕	刀涛斗蚪岛韬豆捣窦都盗祷陡滔枓读斗脰痘稻兜悼讨到导絛叨套倒掏蹈饕抖道逗
抓		
抑		
抆	韵望员运旺甕妄晕酝蕴佣王孕熨用愠忘	拥往踊佣雍翁魍蓊涌勇嗡耘亡惘蛹甬王臃网陨罔咏涌尢芸云鄘泳永慵筠昀晕庸氲纭汪允匀邕俑枉辋云壅恿
改	恺剀楷凯慨岂	开咳揩愒忾慨
攻	倥髡琨焜崆坤锟昆空硿昆	辊鲧倥滚梱空衮孔捆困恐綑棍困控
攸	邀要幺哟夭妖吆腰	要淆耀夭崤咬杳谣瑶侥窈钥尧摇洮鹞舀榣乐肴姚遥肴窑药拗曜爻
旱	贩氾汎犯范饭梵泛范	繙礬番反藩蕃墦樊凡烦翻钒返幡繁帆
更	青欣吭艮铿锌心馨芯矜蜻筋坑襟倾跟筋鲭侵訢钦巾兴新金亘亲阬津卿根禁莘轻惺薪嵚斤浸星辛氢腥猩顷昕清今	邢垦信烬芯秦情坑刑跟倾缙谨磬噙沁省陉琴进恳芹醒兴庆幸龈亲噤肯尽形觐幸揿啃顷锦近硎吭艮铿罄擎劲擒行禽瑾檠型晴性尽馑晋亘紧勤阬根仅禁寝杏浸寻衅悻姓请
束	塑肃粟诉素蓿簌宿速缩嗉溯夙	俗苏苏酥甦稣
李	你拟你旎	尼妮霓呢溺怩倪逆匿昵泥睨腻
杏	竟信靖烬芯劲静径缙进尽晋痉竞净噤仅禁尽镜觐浸敬衅近径境	泾颈心粳馨芯精筋谨訢巾茎新津莘尽觐斤经璟锦昕今欣惊景锌睛矜警更襟筋兢瑾晶旌京井金馑鲸紧仅禁荆菁浸憬薪辛寻阱
材	柴侪豺	钗拆差
村	冲冲疮囪窗春舂创匆葱充枞憧从聪	冲鹑怆崇闯虫虫淳创醇蠢宠撞唇纯淙床重脣抢幢从丛
杜	兔吐菟	凸土荼涂酴图秃徒余突屠吐途
杖	阵枕鸩脏葬朕赈震藏娠奘镇振	祯脏枕诊贞缜真怎针桢斟疹臻赃珍臧砧臜侦榛甄箴
杞	几脊己挤几济戟给麂	洎棘玑羁暨疾忌肌祭集脊骑借芰鸡矶乩剂积几记绩期机屐瘠楫迹嵇觊纪蹟基计级极居妓冀畸戢姬畿其击寄辑寂犄蓟及饥嫉疠际几唧箕继急伋荠奇吉讥激季圾稷即髻霁汲技稽勣吃亟既悸跻籍系岌叽济鲫骥饥
杉	三撒参	萨卅洒撒伞散飒糁
杆	戡看勘刊堪	侃坎看槛瞰勘砍崁
杠	糠跟慷康根	垦伉艮慷龈亘肯亢啃炕扛抗恳
杓	熟	叟守寿受绶嗽飕嗾搜售馊蒐缫搔嫂狩骚收手兽瘦授艘首薮扫擞
杗	们门扪	焖们懑闷
步		
每		
求	谯樵瞧憔侨乔桥翘嚼	啾巧雀跷皎娇厩揪鹊鸠灸窍醮蕉峭九究旧浇饺俏撬舅跤轿狡诮鲛疚橇胶搅韭赳蛟久觉教鞘救悄姣骄窖玖纠就侥焦詨角愀壳交椒柩礁较臼勦敲咎酒郊脚缴铰锹校绞叫矫剿翘
汞	辊鲧捆倥孔恐綑混浑滚梱衮	倥昏琨浑焜魂崆锟昆婚空硿荤馄困珲髡混棍困坤控昆
沙	撒	萨卅洒撒飒
沁	竟靖彊烬罄降劲静胜缙径磬进绛圣盛酱丧乘尽庆賸尚晋痉竞亲净噤仅禁剩尽镜匠上觐浸呛敬将近径强境	青赏桑彊筋情倾浆伤升嗓津觐疆斤呛氢璟锦清江矜腔僧擎蜻更胜筋汤鲭繈笙旌僵丧裳鲸仅觞荆上浸憬蒋绳阱将请声强枪墙泾颈渑枪粳精羌谨省甥奖缰巾茎生昇尽讲经牲森桨顷抢商今惊景睛姜锵蔷警殇襟升兢瑾晴檠樯晶京晌井金馑紧卿禁轻菁戕姜
沈	赏场長苌藏涔尝诚省城程承曾盛徜尝层嗓呈晌常岑乘肠裳澄丞惩偿橙上成嫦	场桑畅渑倡秤撑伤甥氅骋升生伥乘賸昌仓昇娼瞠厂逞牲森伧商猖敞唱僧殇升胜汤笙圣盛参丧称裳尚鲳剩觞舱上沧绳苍怅声
沉	场長苌藏涔尝诚城程承曾盛徜尝层呈常岑乘肠裳澄丞惩偿橙成嫦	场畅猖倡敞唱秤撑氅骋参称伥昌鲳仓娼舱瞠沧逞苍厂怅伧
沅	玩丸完汍顽	惋弯湾莞碗蜿腕挽万宛玩輓晚皖绾豌剜娩婉
沛		
汪	瘟温晕氲塭	员玟刎耘文闻孕吻熨陨愠芸云韵雯运纹紊蚊筠昀晕酝抆蕴汶纭允匀问云稳免
决	瘸穴学	穴雪薛靴确雀阙恪怯削却缺阕鹊壳榷血噱
沐		
汰	迨黛大贷怠逮岱待玳带殆代戴袋	逮待歹呆
沌	褪胴洞栋冻动痛恫恸	铜桐僮东豚冬鼕潼屯筒臀统懂饨瞳同囤峒董桶彤恫吞通童咚
汨		
冲	葱皴匆枞村囪从春聪	鹑吋忖淳寸醇蠢唇纯淙脣从存丛
没		
汽	洎暨寄忌祭蓟骑芰际剂继荠记季稷髻霁技纪觊既悸计跻系济妓鲫骥冀	棘玑羁疾肌集脊己借鸡矶乩积几绩期屐机楫瘠嵇迹蹟基级极居戢畸姬畿其击辑寂给犄饥及嫉疠几唧箕麂挤急伋奇吉讥激圾即汲勣稽吃亟跻籍岌叽济戟饥
沃		
汲	歧其淇旗琪齐蓆琦耆麒棋骑惜习祺脐畦鳍祁崎圻奇岐祇衹期媳祈枝息锡席熄锜袭褶檄昔	携烯嬉膝妻玺洗溪岂绮细碛弃析乞系启器栖讫漆慼迄蟋羲起夕蹊歙气曦淅熹悉愒禧系犀萋汐翕行蜥凄戏稀隙希吸欺徙畦晰兮鳃杞熙汽柒厘矽企喜譆谿稽牺亟唏嘻悽晞潟泣西契系憩奚戚砌七缉僖
汾	吭妨恒航痕肪逢冯行缝杭桁防坊房衡横	疯峰倣丰讽舫仿很丰凤纺行沆枫锋烽访芳坊风亨俸横哼放恨奉狠方缝蜂枋仿封
汴		
沆	放分恨忿愤份粪奋	氛妨倣舫吩分仿很芬坟纺访坊芳房棻痕汾肪狠焚方防纷枋仿粉
汶	韵望员运旺甕妄晕酝蕴佣王孕熨用愠忘	拥往踊佣雍翁魍蓊涌勇嗡耘亡惘蛹甬王臃网陨罔咏涌尢芸云鄘泳永慵筠昀晕庸氲纭汪允匀邕俑枉辋云壅恿
沍	富腹馥覆赙附副傅复付复赴妇咐父阜赋负驸讣	氟缚匐肤鈇俯府腑夫腐頫蝠绋扶甫幅芾孚弗辐绂福袱浮伏符菔釜敷拂涪抚怫斧孵莆趺辅彿服父麸脯芙伕俘
沔		
沘		
沂		
灶	胄棹肇罩骤炤绉奏诏冑纣晁召揍宙昼赵照兆咒籀皱櫂	鄹帚轴妯周昭粥着肘找周钊朝沼邹爪晁陬召舟招走嘲啁州洲
灼	昨作砟	作座左凿做祚柞坐佐
灾	摘斋齐	寨责翟债祭窄宅
灸	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶脩仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼
牢	楼铙喽娄挠蝼呶桡髅	篓耨瘺瑙镂搂露漏恼闹脑陋
牡		
牠	瘩答搭褡跶	瘩答大打达鞑靼怛
狄	题堤蹄啼隄缇提	悌屉体剃嚏剔涕梯踢替锑逖惕
狂		犷辊鲧琨焜滚锟昆梱衮困捆髡逛綑广棍困洸胱坤光昆
玖	朽巧雀悄姣皎侥愀角鹊较勦饺狡脚晓筿缴小铰搅绞宿剿矫	毬溴嚣袖跷修哮消娇邱箫肖窍醮蕉峭囚羞秋逍浇俏秀撬跤轿球诮鲛硝销橇胶脩仇瞧宿傚蛟嗅萧觉宵桥教蚯枭樵鞘憔酵姣裘骄窖削效笑焦詨龟霄骁泅壳交椒嘐求乔孝咻岫梂丘礁啸较敲锈郊谯酋锹校叫侨臭潇秋休鳅绣学翘嚼
甬	允吻蓊陨稳刎	员翁玟耘嗡文闻孕瘟熨温愠芸塭云韵雯运纹筠紊蚊甕昀晕酝抆蕴氲汶纭匀问云免
甫	唬琥许虎	瓠壶胡蝴鹄斛惚戏呼户沪沍楛护狐互胡湖囫葫扈弧瑚乎忽糊
男	斓蓝阑栏褴篮拦籣澜岚兰婪	揽榄烂懒滥览缆
甸		甜畋腼填腆舔添忝恬天田阗
皂	胄棹肇罩骤炤绉奏诏冑纣晁召揍宙昼赵照兆咒籀皱櫂	鄹帚轴妯周昭粥着肘找周钊朝沼邹爪晁陬召舟招走嘲啁州洲
盯	听厅汀	廷霆婷听蜓挺梃停亭艇庭
矣		
私	狮师湿虱诗尸失尸虱施湿嘘	拭豕恃轼是匙氏拾使视豉仕噬蚀誓筮室提嗜什逝屎舐式适柿饰奭士硕螫十弑市示试始埘石食实时势侍世史识矢射事驶释
秀	教救酵窖就效厩笑肖孝柩醮究啸较旧臼舅咎轿疚校叫傚觉	嚣啾皎哮消娇揪箫鸠灸蕉九逍浇饺跤狡筿鲛硝销胶搅韭赳蛟久萧宵教枭姣骄玖纠削侥焦詨霄骁角椒交嘐礁较勦酒郊脚晓缴小铰绞潇矫剿学嚼
秃	嘟都督	髑杜渎蠹椟堵读睹犊笃黩赌度镀渡肚妒牍毒独
究	教溴袖鞘跷酵窖效笑肖壳窍孝岫醮峭啸较俏秀撬锈轿诮校宿叫傚嗅臭觉绣翘	毬嚣朽巧雀跷修哮皎消娇邱鹊箫蕉囚羞秋逍浇饺撬跤球狡筿鲛硝销橇胶脩仇搅瞧宿蛟萧宵桥教蚯枭樵憔悄姣裘骄侥削焦詨龟霄骁角愀泅交椒嘐求乔咻梂丘礁较勦敲晓郊脚缴谯铰小酋锹绞侨潇矫剿秋休鳅学翘嚼
